,0
0,0.2695797
1,0.29695308
2,0.2809766
3,0.2784113
4,0.33893597
5,0.3355329
6,0.34742785
7,0.33893597
8,0.34388092
9,0.28515613
10,0.34650746
11,0.33770683
12,0.34650746
13,0.37538806
14,0.34150863
15,0.2576146
16,0.25823724
17,0.20593305
18,0.27008528
19,0.2291274
20,0.22977822
21,0.29717818
22,0.25823724
23,0.24871251
24,0.3621143
25,0.29717818
26,0.25446072
27,0.25446072
28,0.22354643
29,0.2790452
30,0.2309059
31,0.2915383
32,0.31015554
33,0.2915383
34,0.2915383
35,0.345541
36,0.3034712
37,0.28441173
38,0.30381343
39,0.29784936
40,0.2915383
41,0.29784936
42,0.27599508
43,0.232236
44,0.350236
45,0.3512465
46,0.41778186
47,0.27599508
48,0.24908893
49,0.240078
50,0.24205618
51,0.30133164
52,0.30133164
53,0.24591944
54,0.30067062
55,0.28346822
56,0.2554776
57,0.30466446
58,0.24124841
59,0.31491923
60,0.2834169
61,0.2502927
62,0.30067062
63,0.30133164
64,0.19072835
65,0.21469349
66,0.19096327
67,0.19096327
68,0.42262495
69,0.19096327
70,0.20000543
71,0.19140685
72,0.19096327
73,0.196989
74,0.19072835
75,0.19140685
76,0.19096327
77,0.20198055
78,0.19096327
79,0.2919928
80,0.20198055
81,0.22058882
82,0.20955604
83,0.2809766
84,0.23077528
85,0.19225803
86,0.23145424
87,0.23506293
88,0.2009222
89,0.23077528
90,0.32157007
91,0.2054252
92,0.22637708
93,0.24206498
94,0.23145424
95,0.20315757
96,0.22827266
97,0.33250558
98,0.31022468
99,0.33664367
100,0.27782685
101,0.39783674
102,0.3498534
103,0.25702694
104,0.29333818
105,0.29333818
106,0.33664367
107,0.29056647
108,0.29944542
109,0.31022468
110,0.25392368
111,0.25702694
112,0.24360414
113,0.36595026
114,0.37538806
115,0.24815208
116,0.27031305
117,0.23852177
118,0.30004436
119,0.3093768
120,0.30781984
121,0.24815208
122,0.30004436
123,0.23852177
124,0.20947616
125,0.26753512
126,0.35499495
127,0.35499495
128,0.2721741
129,0.23852177
130,0.2643883
131,0.25935102
132,0.2558879
133,0.2047706
134,0.2558879
135,0.2247011
136,0.26233107
137,0.345541
138,0.26465964
139,0.26367053
140,0.29331672
141,0.26798257
142,0.2381037
143,0.2785497
144,0.26233107
145,0.2381037
146,0.17992306
147,0.27350155
148,0.34179163
149,0.2543594
150,0.3025421
151,0.2587259
152,0.33984768
153,0.24207616
154,0.37825096
155,0.3109639
156,0.3143519
157,0.2695797
158,0.3284235
159,0.35380375
160,0.2804494
