,0
0,0.22057661
1,0.19456188
2,0.15159573
3,0.20791514
4,0.3835362
5,0.3782844
6,0.42601636
7,0.39808393
8,0.36868635
9,0.3389507
10,0.2884239
11,0.3331012
12,0.42601636
13,0.26666564
14,0.2129016
15,0.3782844
16,0.2757682
17,0.2437027
18,0.22807439
19,0.235025
20,0.24074505
21,0.22617574
22,0.19809498
23,0.3029858
24,0.22397028
25,0.13465533
26,0.22794066
27,0.25512603
28,0.22410502
29,0.19809498
30,0.22708385
31,0.25617892
32,0.3029858
33,0.5618267
34,0.32154265
35,0.51745445
36,0.15941519
37,0.5202757
38,0.29689825
39,0.42960784
40,0.3377421
41,0.45018187
42,0.3377421
43,0.348716
44,0.36685646
45,0.38161513
46,0.2919274
47,0.22623797
48,0.42960784
49,0.4853905
50,0.32369894
51,0.35308048
52,0.42665762
53,0.32369894
54,0.3619303
55,0.29828218
56,0.33054417
57,0.44130158
58,0.26668364
59,0.37979025
60,0.40400997
61,0.37979025
62,0.40400997
63,0.30721745
64,0.31545243
65,0.40400997
66,0.23554718
67,0.31759897
68,0.23554718
69,0.19962326
70,0.2747136
71,0.2882201
72,0.25307986
73,0.25027397
74,0.3466455
75,0.21733731
76,0.23903157
77,0.23903157
78,0.23148319
79,0.23554718
80,0.15886834
81,0.32295576
82,0.26370668
83,0.39538792
84,0.32340217
85,0.32579017
86,0.41084886
87,0.2628733
88,0.31416652
89,0.26728913
90,0.36523727
91,0.17035398
92,0.2725859
93,0.4023757
94,0.4023757
95,0.35396928
96,0.34230232
97,0.36523727
98,0.3676275
99,0.43607455
100,0.32788646
101,0.32635635
102,0.20364012
103,0.3766368
104,0.30186567
105,0.3599877
106,0.3394931
107,0.32877254
108,0.3936781
109,0.30186567
110,0.2567332
111,0.3599877
112,0.34042543
113,0.14196801
114,0.14164414
115,0.2773306
116,0.2623708
117,0.2515472
118,0.23661333
119,0.38108036
120,0.26850238
121,0.3001377
122,0.35306725
123,0.37016785
124,0.39249086
125,0.16693647
126,0.24450919
127,0.39249086
128,0.34080654
129,0.34582183
130,0.34582183
131,0.24450919
132,0.3271537
133,0.32463816
134,0.25408795
135,0.31024143
136,0.48379555
137,0.39347053
138,0.26603144
139,0.33659342
140,0.2683459
141,0.31600344
142,0.38350308
143,0.27569664
144,0.29809192
145,0.29809192
146,0.38461956
147,0.47576627
148,0.3165135
149,0.26603144
150,0.16223356
151,0.16273491
152,0.15516822
153,0.17669925
154,0.17600735
155,0.15263566
156,0.14116953
157,0.14162576
158,0.32288077
159,0.16827576
160,0.16273491
161,0.1976225
162,0.17668219
163,0.1384925
164,0.14116953
165,0.17668219
166,0.2949845
167,0.2236145
168,0.28660396
169,0.47238022
170,0.37106165
171,0.37106165
172,0.2937859
173,0.29268134
174,0.30022666
175,0.2949845
176,0.37106165
177,0.29443714
178,0.37106165
179,0.31144816
180,0.35211062
181,0.24996834
182,0.29546398
183,0.26567915
184,0.30339703
185,0.27604973
186,0.36412036
187,0.31505978
188,0.27703264
189,0.27154332
190,0.29194045
191,0.4690164
192,0.28149545
193,0.2563144
194,0.2563144
195,0.27703264
196,0.25513917
197,0.28448233
198,0.27703264
199,0.32958925
200,0.404588
201,0.2702256
202,0.42561984
203,0.3400942
204,0.2553908
205,0.3161902
206,0.29866686
207,0.4453905
208,0.29866686
209,0.2656148
210,0.3900646
211,0.30185428
212,0.2702256
213,0.4746297
214,0.32958925
215,0.2758839
216,0.38243163
217,0.32889804
218,0.32889804
219,0.35078326
220,0.22977133
221,0.34635824
222,0.40383622
223,0.2986288
224,0.20908068
225,0.3900853
226,0.2318291
227,0.35078326
228,0.25994545
229,0.34635824
230,0.26957515
231,0.35834584
232,0.32296446
233,0.29484573
234,0.29484573
235,0.31541622
236,0.13572837
237,0.4286706
238,0.2519918
239,0.36546484
240,0.3719453
241,0.31783307
242,0.4286706
243,0.2888565
244,0.32216302
245,0.36546484
246,0.34343606
247,0.13411474
248,0.31541622
249,0.26423422
250,0.43465146
251,0.42471498
252,0.3445648
253,0.41033325
254,0.32132378
255,0.32693195
256,0.3733963
257,0.42471498
258,0.14182153
259,0.43270633
260,0.34711534
261,0.37887195
262,0.35107368
263,0.32132378
264,0.37232807
265,0.37887195
266,0.18746032
267,0.177231
268,0.278854
269,0.19113949
270,0.21178553
271,0.1751387
272,0.17621352
273,0.18746032
274,0.19181645
275,0.17189203
276,0.1751387
277,0.2120211
278,0.24200578
279,0.177231
280,0.1363127
281,0.25944674
282,0.2256387
283,0.19968048
284,0.19884261
285,0.23771207
286,0.19968048
287,0.22488138
288,0.25969547
289,0.19884261
290,0.18281157
291,0.16319425
292,0.19968048
293,0.23259938
294,0.29004344
295,0.19884261
296,0.22340171
297,0.23419793
298,0.22340171
299,0.30004025
300,0.31800044
301,0.24357076
302,0.13828544
303,0.34772313
304,0.24156383
305,0.32548383
306,0.34172833
307,0.32563493
308,0.31255123
309,0.27159327
310,0.25450864
311,0.38355193
312,0.34772313
313,0.13972306
314,0.38355193
315,0.23854221
316,0.27582002
317,0.28020704
318,0.27799603
319,0.2992433
320,0.32405964
321,0.32405964
322,0.21090215
323,0.28020704
324,0.13336214
325,0.27376735
326,0.30701348
327,0.26983187
328,0.26983187
329,0.29189667
330,0.32574075
331,0.27376735
332,0.20527008
333,0.27811345
334,0.28552717
335,0.16500296
336,0.13664323
337,0.2979845
338,0.19535494
339,0.19878212
340,0.20833641
341,0.19535494
342,0.20969076
343,0.23373587
344,0.20833641
345,0.29475972
346,0.2979845
347,0.16809055
348,0.21826015
349,0.29701707
350,0.24750805
351,0.21784134
352,0.2723215
