,0
0,0.56833297
1,0.59405357
2,0.55532086
3,0.1846078
4,0.10896615
5,0.38682914
6,0.39832413
7,0.41176748
8,0.50314033
9,0.40440574
10,0.42927533
11,0.4775375
12,0.40818053
13,0.7091852
14,0.39832413
15,0.36924523
16,0.50314033
17,0.44682983
18,0.42927533
19,0.44682983
20,0.4234459
21,0.34329915
22,0.376184
23,0.3790974
24,0.4659346
25,0.34570718
26,0.34570718
27,0.33293855
28,0.3399664
29,0.39897305
30,0.36158845
31,0.3535874
32,0.3958752
33,0.39897305
34,0.35490257
35,0.42737922
36,0.3535874
37,0.3410185
38,0.50199354
39,0.43455216
40,0.55695885
41,0.5189169
42,0.39429158
43,0.5189169
44,0.60653824
45,0.50199354
46,0.4667895
47,0.68011636
48,0.35287145
49,0.48240066
50,0.57059956
51,0.5189169
52,0.6044518
53,0.365266
54,0.40294802
55,0.36927655
56,0.40294802
57,0.389815
58,0.30563906
59,0.2936591
60,0.35030955
61,0.35030955
62,0.5292955
63,0.38653055
64,0.48070028
65,0.36927655
66,0.35030955
67,0.39147785
68,0.50351936
69,0.44470415
70,0.41322955
71,0.43519378
72,0.37891263
73,0.3808568
74,0.3957479
75,0.40527788
76,0.37891263
77,0.322203
78,0.3957479
79,0.49719998
80,0.322203
81,0.31431106
82,0.40726435
83,0.3957479
84,0.34761167
85,0.33599043
86,0.43010664
87,0.562263
88,0.54960304
89,0.6594557
90,0.389815
91,0.56557065
92,0.6124537
93,0.56557065
94,0.44710883
95,0.46143422
96,0.52546394
97,0.46143422
98,0.5370149
99,0.46815738
100,0.37333864
101,0.46275246
102,0.46143422
103,0.54960304
104,0.57888305
105,0.4483715
106,0.4864677
107,0.697386
108,0.4864677
109,0.697386
110,0.49179438
111,0.697386
112,0.372133
113,0.36001205
114,0.504267
115,0.4722222
116,0.4864677
117,0.4354485
118,0.62919915
119,0.5138997
120,0.4354485
121,0.72392964
122,0.5348927
123,0.44880104
124,0.46275246
125,0.6968459
126,0.48303077
127,0.531015
128,0.45804158
129,0.79776275
130,0.5683486
131,0.46037737
132,0.5348927
133,0.79776275
134,0.5626347
135,0.4722842
136,0.62188584
137,0.72392964
138,0.2954059
139,0.37463713
140,0.28304246
141,0.3347922
142,0.37494498
143,0.2954059
144,0.2447717
145,0.2954059
146,0.36001205
147,0.36077058
148,0.4329121
149,0.32015017
150,0.38433307
151,0.38544235
152,0.36077058
153,0.38433307
154,0.4889336
155,0.46232536
156,0.5616858
157,0.45842817
158,0.597254
159,0.6701222
160,0.5278342
161,0.62303394
162,0.6720178
163,0.46232536
164,0.6701222
165,0.5278342
166,0.46232536
167,0.6967728
168,0.4607558
169,0.693164
170,0.47836995
171,0.20626472
172,0.2788598
173,0.2019786
174,0.31847888
175,0.29530096
176,0.31847888
177,0.28158066
178,0.18900622
179,0.4722842
180,0.32420743
181,0.19939455
182,0.297403
183,0.19343999
184,0.297403
185,0.20626472
186,0.29530096
187,0.16719286
188,0.28487822
189,0.17880633
190,0.5744667
191,0.17880633
192,0.1481151
193,0.14577745
194,0.11977856
195,0.14763974
196,0.15372021
197,0.15368025
198,0.18703996
199,0.15372021
200,0.21426937
201,0.5381084
202,0.16265865
203,0.28487822
204,0.5235105
205,0.52731836
206,0.37868762
207,0.48922834
208,0.46230954
209,0.5235105
210,0.44707227
211,0.42241657
212,0.44897586
213,0.52731836
214,0.552758
215,0.552758
216,0.41303918
217,0.39677632
218,0.38738343
219,0.486034
220,0.40050173
221,0.39803448
222,0.47866976
223,0.5739472
224,0.49794978
225,0.426337
226,0.48654893
227,0.41010922
228,0.40601096
229,0.44263524
230,0.4007532
231,0.42685342
232,0.48996064
233,0.44476485
234,0.42455396
235,0.44897586
236,0.48996064
237,0.42685342
238,0.44969806
239,0.6963712
240,0.5093542
241,0.6963712
242,0.48741218
243,0.6021483
244,0.44969806
245,0.59380853
246,0.31000212
247,0.5093542
248,0.45705366
249,0.615227
250,0.72888994
251,0.7019058
252,0.56133586
253,0.56133586
254,0.4497053
255,0.43885162
256,0.46064594
257,0.53252864
258,0.46887398
259,0.5365088
260,0.42393947
261,0.49794537
262,0.43885162
